"","year","accomplishment","person","gender","category","decade"
"375",1984,"First African-American coach to win the NCAA Men's Division I Basketball Championship","John Thompson (Georgetown)","African-American Firsts","Education & Science",1980
"376",1985,"First African-American to become a member of the U.S. Navy's Blue Angels precision flying team","Donnie Cochran. Also first African-American to command the team (1994).","African-American Firsts","Military",1980
"377",1985,"First African-American female general","Sherian Cadoria","Female African American Firsts","Military",1980
"378",1986,"First African-American Formula One racecar driver","Willy T. Ribbs[Note 22] (See also","African-American Firsts","Sports",1980
"379",1986,"First African-American musicians inducted into the Rock and Roll Hall of Fame, in the inaugural class","Chuck Berry, James Brown, Ray Charles, Sam Cooke, Fats Domino, and Little Richard","African-American Firsts","Arts & Entertainment",1980
"380",1986,"First African-American woman (Shirley Ajayi) was given apart for 6 months on a TV show as a psychic in 1986 in Chicago, Illinois.",NA,"Female African American Firsts","Arts & Entertainment",1980
"381",1987,"First African-American woman, and first woman, inducted into the Rock and Roll Hall of Fame","Aretha Franklin","Female African American Firsts","Arts & Entertainment",1980
"382",1987,"First African-American Radio City Music Hall Rockette","Jennifer Jones","African-American Firsts","Arts & Entertainment",1980
"383",1987,"First African-American man to sail around the world solo","Teddy Seymour","African-American Firsts","Social & Jobs",1980
"384",1988,"First African-American to win a medal at the Winter Olympics (a bronze in figure skating)","Debi Thomas","African-American Firsts","Education & Science",1980
"385",1988,"First African-American woman elected to a U.S. judgeship, and first appointed to a state supreme court","Juanita Kidd Stout","Female African American Firsts","Law",1980
